tsv	Biosample.term.name	ID
ENCFF758GXN.tsv	WTC11	ENCFF758GXN
ENCFF488ZHV.tsv	K562	ENCFF488ZHV
ENCFF605EAB.tsv	bronchial epithelial cell	ENCFF605EAB
ENCFF326PKO.tsv	M059J	ENCFF326PKO
ENCFF807ORH.tsv	hepatocyte	ENCFF807ORH
ENCFF467ISV.tsv	Daoy	ENCFF467ISV
ENCFF989CEV.tsv	H7	ENCFF989CEV
ENCFF944RFV.tsv	HepG2	ENCFF944RFV
ENCFF668ZPO.tsv	cerebellum	ENCFF668ZPO
ENCFF529HSE.tsv	HepG2	ENCFF529HSE
ENCFF962YZV.tsv	dermis lymphatic vessel endothelial cell	ENCFF962YZV
ENCFF246JXP.tsv	dermis microvascular lymphatic vessel endothelial cell	ENCFF246JXP
ENCFF737ASX.tsv	smooth muscle cell of the umbilical artery	ENCFF737ASX
ENCFF388LFO.tsv	epithelial cell of umbilical artery	ENCFF388LFO
ENCFF685WJV.tsv	Caki2	ENCFF685WJV
ENCFF019KLP.tsv	IMR-90	ENCFF019KLP
ENCFF175USD.tsv	SK-MEL-5	ENCFF175USD
ENCFF955BPJ.tsv	SJCRH30	ENCFF955BPJ
ENCFF351WTM.tsv	pericardium fibroblast	ENCFF351WTM
ENCFF716CWC.tsv	cardiac atrium fibroblast	ENCFF716CWC
ENCFF922JNB.tsv	epithelial cell of proximal tubule	ENCFF922JNB
ENCFF940WFO.tsv	LHCN-M2	ENCFF940WFO
ENCFF717PSW.tsv	K562	ENCFF717PSW
ENCFF314OZK.tsv	cardiac muscle cell	ENCFF314OZK
ENCFF842TMB.tsv	K562	ENCFF842TMB
ENCFF748QHT.tsv	skeletal muscle myoblast	ENCFF748QHT
ENCFF676GUE.tsv	RPMI7951	ENCFF676GUE
ENCFF921IWN.tsv	G401	ENCFF921IWN
ENCFF575QDK.tsv	A172	ENCFF575QDK
ENCFF296ZTM.tsv	K562	ENCFF296ZTM
ENCFF730OTJ.tsv	GM23338	ENCFF730OTJ
ENCFF545DTG.tsv	GM23248	ENCFF545DTG
ENCFF567GQW.tsv	neural progenitor cell	ENCFF567GQW
ENCFF776YSH.tsv	smooth muscle cell	ENCFF776YSH
ENCFF649XOG.tsv	HepG2	ENCFF649XOG
ENCFF976LMJ.tsv	thoracic aorta	ENCFF976LMJ
ENCFF261ZPX.tsv	thoracic aorta	ENCFF261ZPX
ENCFF973GEQ.tsv	K562	ENCFF973GEQ
ENCFF710YES.tsv	adrenal gland	ENCFF710YES
ENCFF280XKK.tsv	MG63	ENCFF280XKK
ENCFF736QCV.tsv	adrenal gland	ENCFF736QCV
ENCFF031CKR.tsv	esophagus squamous epithelium	ENCFF031CKR
ENCFF045PTB.tsv	sigmoid colon	ENCFF045PTB
ENCFF543MPI.tsv	dendritic cell	ENCFF543MPI
ENCFF610HRQ.tsv	heart left ventricle	ENCFF610HRQ
ENCFF285NIX.tsv	omental fat pad	ENCFF285NIX
ENCFF559RWJ.tsv	omental fat pad	ENCFF559RWJ
ENCFF370RMR.tsv	heart left ventricle	ENCFF370RMR
ENCFF187XXH.tsv	gastrocnemius medialis	ENCFF187XXH
ENCFF846ZKU.tsv	right atrium auricular region	ENCFF846ZKU
ENCFF007QIH.tsv	dendritic cell	ENCFF007QIH
ENCFF490WXZ.tsv	transverse colon	ENCFF490WXZ
ENCFF577SLL.tsv	sigmoid colon	ENCFF577SLL
ENCFF972PNH.tsv	thyroid gland	ENCFF972PNH
ENCFF577KCY.tsv	subcutaneous adipose tissue	ENCFF577KCY
ENCFF197RQL.tsv	tibial nerve	ENCFF197RQL
ENCFF083JDV.tsv	foreskin keratinocyte	ENCFF083JDV
ENCFF952ZOE.tsv	stomach	ENCFF952ZOE
ENCFF118WDU.tsv	subcutaneous adipose tissue	ENCFF118WDU
ENCFF216GIB.tsv	dendritic cell	ENCFF216GIB
ENCFF005FVC.tsv	esophagus squamous epithelium	ENCFF005FVC
ENCFF850OBS.tsv	right lobe of liver	ENCFF850OBS
ENCFF096SPQ.tsv	gastrocnemius medialis	ENCFF096SPQ
ENCFF605ORY.tsv	esophagus squamous epithelium	ENCFF605ORY
ENCFF495AYZ.tsv	tibial nerve	ENCFF495AYZ
ENCFF702BES.tsv	sigmoid colon	ENCFF702BES
ENCFF884ZHJ.tsv	gastroesophageal sphincter	ENCFF884ZHJ
ENCFF611ACI.tsv	stomach	ENCFF611ACI
ENCFF332SNL.tsv	right atrium auricular region	ENCFF332SNL
ENCFF467TWZ.tsv	gastrocnemius medialis	ENCFF467TWZ
ENCFF061BJL.tsv	ovary	ENCFF061BJL
ENCFF530KIE.tsv	spleen	ENCFF530KIE
ENCFF090GQE.tsv	esophagus muscularis mucosa	ENCFF090GQE
ENCFF627ZCI.tsv	omental fat pad	ENCFF627ZCI
ENCFF458MLB.tsv	vagina	ENCFF458MLB
ENCFF998IFH.tsv	right lobe of liver	ENCFF998IFH
ENCFF939MHB.tsv	upper lobe of left lung	ENCFF939MHB
ENCFF366BBV.tsv	transverse colon	ENCFF366BBV
ENCFF906OMD.tsv	breast epithelium	ENCFF906OMD
ENCFF398VOV.tsv	tibial nerve	ENCFF398VOV
ENCFF795IDG.tsv	body of pancreas	ENCFF795IDG
ENCFF995DNJ.tsv	dendritic cell	ENCFF995DNJ
ENCFF463WWB.tsv	Peyer's patch	ENCFF463WWB
ENCFF604YLU.tsv	spleen	ENCFF604YLU
ENCFF390GTC.tsv	gastroesophageal sphincter	ENCFF390GTC
ENCFF261VFJ.tsv	Peyer's patch	ENCFF261VFJ
ENCFF502KTX.tsv	esophagus squamous epithelium	ENCFF502KTX
ENCFF056CEY.tsv	sigmoid colon	ENCFF056CEY
ENCFF993HSV.tsv	esophagus muscularis mucosa	ENCFF993HSV
ENCFF008KKP.tsv	dendritic cell	ENCFF008KKP
ENCFF005RLW.tsv	tibial nerve	ENCFF005RLW
ENCFF682JCA.tsv	subcutaneous adipose tissue	ENCFF682JCA
ENCFF042TKK.tsv	dendritic cell	ENCFF042TKK
ENCFF495PZM.tsv	dendritic cell	ENCFF495PZM
ENCFF612UEF.tsv	spleen	ENCFF612UEF
ENCFF858UNG.tsv	suprapubic skin	ENCFF858UNG
ENCFF898UXF.tsv	ascending aorta	ENCFF898UXF
ENCFF016HGS.tsv	thyroid gland	ENCFF016HGS
ENCFF259PFY.tsv	testis	ENCFF259PFY
ENCFF273KTX.tsv	uterus	ENCFF273KTX
ENCFF283HWB.tsv	uterus	ENCFF283HWB
ENCFF875UFG.tsv	transverse colon	ENCFF875UFG
ENCFF588XFP.tsv	upper lobe of left lung	ENCFF588XFP
ENCFF116EET.tsv	dendritic cell	ENCFF116EET
ENCFF249NNL.tsv	esophagus muscularis mucosa	ENCFF249NNL
ENCFF349CDS.tsv	dendritic cell	ENCFF349CDS
ENCFF076NNR.tsv	upper lobe of left lung	ENCFF076NNR
ENCFF064QSR.tsv	omental fat pad	ENCFF064QSR
ENCFF840HII.tsv	dendritic cell	ENCFF840HII
ENCFF014JRQ.tsv	IMR-90	ENCFF014JRQ
ENCFF866SAB.tsv	breast epithelium	ENCFF866SAB
ENCFF306SMM.tsv	gastroesophageal sphincter	ENCFF306SMM
ENCFF288JWC.tsv	gastrocnemius medialis	ENCFF288JWC
ENCFF174HFD.tsv	dendritic cell	ENCFF174HFD
ENCFF673GJW.tsv	suprapubic skin	ENCFF673GJW
ENCFF660ZOT.tsv	Peyer's patch	ENCFF660ZOT
ENCFF008RKC.tsv	adrenal gland	ENCFF008RKC
ENCFF852GKK.tsv	lower leg skin	ENCFF852GKK
ENCFF427XCA.tsv	dendritic cell	ENCFF427XCA
ENCFF082QRB.tsv	esophagus muscularis mucosa	ENCFF082QRB
ENCFF193ERL.tsv	breast epithelium	ENCFF193ERL
ENCFF299RPU.tsv	suprapubic skin	ENCFF299RPU
ENCFF222PXI.tsv	gastroesophageal sphincter	ENCFF222PXI
ENCFF705RJE.tsv	dendritic cell	ENCFF705RJE
ENCFF380WQC.tsv	ovary	ENCFF380WQC
ENCFF995GSB.tsv	body of pancreas	ENCFF995GSB
ENCFF485OGN.tsv	prostate gland	ENCFF485OGN
ENCFF599AFQ.tsv	lower leg skin	ENCFF599AFQ
ENCFF801VQX.tsv	transverse colon	ENCFF801VQX
ENCFF661RYJ.tsv	adrenal gland	ENCFF661RYJ
ENCFF751ODP.tsv	suprapubic skin	ENCFF751ODP
ENCFF596GXF.tsv	Peyer's patch	ENCFF596GXF
ENCFF080JPL.tsv	spleen	ENCFF080JPL
ENCFF042VIA.tsv	prostate gland	ENCFF042VIA
ENCFF009IKX.tsv	dendritic cell	ENCFF009IKX
ENCFF795SXL.tsv	lower leg skin	ENCFF795SXL
ENCFF776BTK.tsv	stomach	ENCFF776BTK
ENCFF632UQN.tsv	thyroid gland	ENCFF632UQN
ENCFF732HBO.tsv	testis	ENCFF732HBO
ENCFF209NYA.tsv	dendritic cell	ENCFF209NYA
ENCFF977ZRU.tsv	dendritic cell	ENCFF977ZRU
ENCFF951EEA.tsv	H1	ENCFF951EEA
